Name,Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product
Oppo A31 6GB RAM+128G ROM Refurbished 6.5 Inch Screen HD Camera 12MP-Black,Oppo,"KSh 9,299","KSh 17,183",,,3.8 out of 5(149),Phones
Oppo A83 4GB RAM+64GB Refurbished -4G LTE Dual SIM-5.7-inch- Face Unlock -Red.,Oppo,"KSh 5,279","KSh 10,000",,,3.8 out of 5(43),Phones
"Itel A70, 6.6"", 3GB RAM + 128GB, 4G, (Dual SIM) 5000mAh - Azure blue",Itel,"KSh 8,599","KSh 15,650",,,4.8 out of 5(19),Phones
"Samsung GALAXY A16, 6.7'' HD+, 8GB RAM + 256 GB ROM, DUAL SIM, 50MP, 5000mAh  COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",Samsung,"KSh 23,499","KSh 35,999",,,4 out of 5(15),Phones
"Freeyond M5,8GB+128GB,6.52"", 50MP,4G Smartphone 5000mAh Dual SIM Android Phone,Black",Freeyond,"KSh 10,699","KSh 21,196",,,4.1 out of 5(316),Phones
"Itel A50, 6.6'', 64GB + 2GB RAM (Dual SIM), 4G, 5000mAh, Black",Itel,"KSh 8,199","KSh 9,000",,,,Phones
"Samsung Galaxy A16, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black",Samsung,"KSh 17,027","KSh 18,000",,,4 out of 5(1),Phones
"Samsung Galaxy S24 Ultra - 256 GB, Titanium Black",Samsung,"KSh 116,000","KSh 147,000",,,5 out of 5(3),Phones
Apple iPhone 16 Pro Max (256 GB) - Desert Titanium,Apple,"KSh 177,000","KSh 190,000",,,5 out of 5(4),Phones
"Itel A80, 6.7"", 3GB RAM + 128GB (Dual SIM), 5000mAh, Black (1 YR WRTY)",Itel,"KSh 9,899","KSh 11,200",,,,Phones
"Infinix Smart 8 6.6"" HD, 2GB RAM + 64GB , Android 13 (Dual sim) 5000mAh - Timber Black",Infinix,"KSh 8,999","KSh 13,999",,,4.1 out of 5(226),Phones
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM), 5000mAh, Black",XIAOMI,"KSh 8,849","KSh 10,999",,,4.2 out of 5(106),Phones
"Samsung  Galaxy A05S, 6.7"", 90HZ, 4GB RAM + 128GB ROM, 50MP CAMERA, 5000mAh - Black + Free Gifts",Samsung,"KSh 14,150","KSh 22,999",,,4.2 out of 5(77),Phones
HOMMY 3 Column Portable Wardrobe - Brown Cover,HOMMY,"KSh 2,159","KSh 4,500",,,3.7 out of 5(1174),Phones
"Vivo Y55 4G LTE Refurbished Smartphone (16GB, 2GB RAM), 5.2"", 8MP+5MP Camera, Dual SIM, 2730mAh, Gold",Vivo,"KSh 2,831","KSh 7,999",,,3.5 out of 5(40),Phones
"Samsung Galaxy A05s, 6.7"", 128GB + 4GB (Dual SIM), 5000mAh,-Black",Samsung,"KSh 13,799","KSh 17,399",,,4.2 out of 5(69),Phones
HOMMY Portable Wardrobe 3 Column - Grey Cover,HOMMY,"KSh 2,399","KSh 4,000",,,3.8 out of 5(692),Phones
"Nokia New Original Nokia105 800 mAh 1.5"" Dual SIM Cards Unlocked Cheap Durable Old Phone Classic Feature",Nokia,"KSh 1,639","KSh 3,799",,,5 out of 5(4),Phones
Samsung A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL SIM+EARBUDS+WATCH-Bk,Samsung,"KSh 12,650","KSh 19,999",,,4.3 out of 5(24),Phones
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh COMES WITH FREE GIFTS ( AIRPODS + SMART WATCH +POWERBANK ) FOR YOU",XIAOMI,"KSh 15,499","KSh 20,999",,,3.8 out of 5(23),Phones
"Blackview Wave 6C, 6.5"", 2GB RAM + 32GB (Dual SIM), 8MP Camera, 5100mAh Battery - 4G, Black.",Blackview,"KSh 6,499","KSh 12,999",,,4.3 out of 5(27),Phones
"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+BEST GIFTS",Samsung,"KSh 10,590","KSh 23,000",,,4.1 out of 5(64),Phones
"VILLAON V20SE,5.0"" SCREEN SIZE,3000MAH BATTERY,(32GB+4GB*)DUAL SIM,SPLY""",VILLAON,"KSh 4,850","KSh 7,000",,,3.5 out of 5(30),Phones
"Tecno Spark 30 6.78'', 128GB ROM+8GB RAM*(+8GB Extended Ram)_ SONY IMX682 64MP Camera (4G Dual SIM), 5000mAh-Stellar Shadow (1YR WRTY)",Tecno,"KSh 17,199","KSh 19,999",,,4.1 out of 5(21),Phones
"Nokia New Original Nokia 3310 16MB 1200 MAh 2.4"" HD Camera 2MP Dual SIM Cards Unlocked Cheap Durable Old Phone Classic Featur",Nokia,"KSh 1,695","KSh 5,999",,,3.4 out of 5(7),Phones
"Nokia 2720 Flip Mobile, Mobile Phone, Dual Screen, Dual Sim Card - Black",Nokia,"KSh 3,999","KSh 5,000",,,3.3 out of 5(4),Phones
HOMMY PORTABLE WARDROBE,HOMMY,"KSh 2,238","KSh 4,000",,,3.3 out of 5(4),Phones
"Itel A70 6.6 DISPLAY UPTO 8GB RAM + 128GB ROM 5000mAh, 8MP, Black",Itel,"KSh 9,470","KSh 15,000",,,4.4 out of 5(28),Phones
"Samsung A06, 6.7"", 4GB RAM+ 64GB (Dual SIM), 5000mAh, Light Blue (1YR WRTY)",Samsung,"KSh 11,935","KSh 14,322",,,3.6 out of 5(18),Phones
JIBAO Portable Wardrobe 3 Column - Grey,JIBAO,"KSh 2,599","KSh 4,000",,,3.7 out of 5(154),Phones
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD2 PB2,XIAOMI,"KSh 15,450","KSh 29,000",,,4.4 out of 5(7),Phones
"XIAOMI Redmi Note 14 256GB 8GB 108MP 6.67"" 5500mAh 4G Dual SIM",XIAOMI,"KSh 24,350","KSh 29,999",,,4.5 out of 5(2),Phones
"XIAOMI Redmi 14C, 6.88"" (256GB Storage+8GB RAM) (Dual Sim) 5160mAh -Midnight Black",XIAOMI,"KSh 14,298","KSh 21,999",,,3.3 out of 5(6),Phones
Nice One YG-105 2 Column Portable Fabric Cloth Wardrobe – 5 Shelves & Hanging Section - Coffee Brown,Nice,"KSh 1,799","KSh 3,999",,,4.3 out of 5(11),Phones
Samsung Galaxy A06 6.7 DISPLAY 4GB RAM +128GB ROM 5000MAH DUAL,Samsung,"KSh 12,209","KSh 19,999",,,4.8 out of 5(4),Phones
"Tecno T301 2/Dual Sim,Button/KABAMBE/KATULULU/MULIKA MWIZI",Tecno,"KSh 1,470","KSh 3,000",,,4.4 out of 5(26),Phones
HOMMY 3 COLUMN PORTABLE WARDROBE,HOMMY,"KSh 2,599","KSh 4,000",,,4 out of 5(44),Phones
"Samsung GALAXY A15, 6.5'' , 8GB RAM + 256GB ROM (DUAL SIM) 50MP CAMERA, 5000mAh - Blue + FREEBIES",Samsung,"KSh 23,999","KSh 40,999",,,4.3 out of 5(35),Phones
"Oppo Refurbished A59 4G LTE Smartphones (32GB, 4GB), 5.5"" Octa-core Processor Mobile Phones, 13MP+8MP Main Camera, Dual SIM 3075 MAh Android Phones",Oppo,"KSh 4,699","KSh 9,999",,,,Phones
"Samsung GALAXY A15, 6.5'' HD+, 4GB RAM + 128GB ROM, DUAL SIM, 50MP,  5000mAh - Black",Samsung,"KSh 19,599","KSh 29,999",,,4.2 out of 5(498),Phones
Car Mobile Phone Holder - Black,Car,KSh 569,"KSh 1,300",,,3.9 out of 5(23),Phones
Vivo Y85  4GB+64G ROM Refurbished Dual SIM6.26 Inch  Camera 13MP Face Unlock+Fingerprint Smartphone,Vivo,"KSh 6,888","KSh 10,000",,,4 out of 5(4),Phones
"Oking OK3390 Cell Phone, 1.77"" - Wireless FM - Tri SIM - Big Battery- Blue  (1YR WRTY)",Oking,"KSh 1,291","KSh 1,549",,,4.6 out of 5(11),Phones
"Itel A18 5.0"", 32GB + 1GB RAM, 2400mAh - Morion Grey",Itel,"KSh 5,399","KSh 6,709",,,4.1 out of 5(34),Phones
"XIAOMI Redmi 13C, 6.71""(8GB RAM+256GB Storage)5000mAh Dual +COVER",XIAOMI,"KSh 17,299","KSh 30,000",,,4.3 out of 5(30),Phones
