Brand,Price,Old Price,Discount,Rating,Review Count,Type of Product,Clean Name,Storage,Battery,Screen Size,Color,More Details
HP,"KSh 44,999","KSh 55,000",,,1 out of 5(1),Laptops,"HP EliteBook 1030 G2 X360 7th Gen Core I7 16gb Ram 512Gb SSD-Refurbished-13""-Silver- Win 11","16gb Ram, 512Gb SSD",N/A,"13""",N/A,
HP,"KSh 20,999","KSh 25,000",,,3.5 out of 5(8),Laptops,HP ProBook X 360 11 G3 8GB RAM 256GB SSD 8TH Generation,"8GB RAM, 256GB SSD",N/A,N/A,N/A,"Intel Pentium silver Quad core, 11.6 Inches Display Touchscreen 2 in 1 Refurbished laptop"
HP,"KSh 16,177","KSh 27,000",,,3.8 out of 5(5),Laptops,HP Renewed Elitebook 820 Core I5,"8GB RAM, 500GB HDD",N/A,"12.5""",Black,8GB RAM 500GB HDD -
Lenovo,"KSh 35,000","KSh 38,500",,,,Laptops,Lenovo IdeaPad 1 14IGL BRAND NEW SEALED,N/A,N/A,N/A,N/A,"Intel® Celeron® N4020 ,Intel® UHD Graphics 600, 8 GB DDR4-2400, 256 GB SSD PCIe"
HP,"KSh 19,699","KSh 23,000",,,5 out of 5(1),Laptops,HP Refurbished 640 G2 8GB RAM,"8GB RAM, 256GB SSD",N/A,"14""",N/A,"256GB SSD Core I5 6th Gen  Inch Display Laptop WINDOWS 11 PRO ACTIVATED,Office & Basic Softwares Installed"
HP,"KSh 39,999","KSh 50,000",,,,Laptops,HP EliteBook 840 G7 10th Gen Core I5-16GB RAM-256GB SSD-Refurbished-Windows 11 Pro -Silver-14'' Touchscreen,"16GB RAM, 256GB SSD",N/A,N/A,N/A,
HP,"KSh 52,500","KSh 70,000",,,,Laptops,HP Refurbished Elitebook 1030 G3 Core I7 16GB RAM 512GB SSD X360 8th Gen 2-In-1 Convertible 13.3 Touchscreen FHD  Business Laptop +Bag (6 Months WRTY),"16GB RAM, 512GB SSD",N/A,N/A,N/A,
Lenovo,"KSh 38,999","KSh 43,000",,,4 out of 5(3),Laptops,Lenovo IdeaPad 1,"8GB RAM, 256GB SSD",N/A,"14""",N/A,"Intel Celeron N4020,  HD Display, Windows 11 Pro, Cloud Grey+Bag+Flash+Mouse (1YR WRTY)"
HP,"KSh 24,999","KSh 34,999",,,,Laptops,HP Elitebook 820 G3 6th Gen,16GB RAM,N/A,"12.5""",N/A,"Core I7, -SSD 256GB -, Sliver Refurbished, 6 Months WRTY"
Sans,KSh 399,KSh 900,,,,Laptops,Sans Nom Bluetooth USB 2.0 Micro Adapter Dongle,N/A,N/A,N/A,N/A,
HP,"KSh 65,000","KSh 100,000",,,,Laptops,HP Pavilion Gaming 15.6-Inch Micro-EDGE Laptop,N/A,N/A,N/A,N/A,"Intel Core i5-9300H Processor, NVIDIA GeForce GTX 1650 (4 GB), 16 GB RAM, 512 GB SSD, Windows 11 Home (15-dk0XXX, Shadow Black/Acid Green)"
Apple,"KSh 26,499","KSh 39,999",,,,Laptops,"Apple  Refurbished MacBook Pro 13"" Core I5 8GB RAM",8GB RAM,N/A,"13""",Silver,1TB HDD ( 2012) 2.5GHz-
HP,"KSh 18,600","KSh 18,999",,,,Laptops,HP Refurbished 8440p Core I5 8GB RAM 500GB HDD,"8GB RAM, 500GB HDD",N/A,N/A,N/A,Activated Windows 10Pro+ Basic Software &Free Mouse
HP,"KSh 23,000","KSh 25,000",,,,Laptops,HP EliteBook 745 G5 AMD Ryzen 5 PRO 2500U 8GB RAM 256GB SSD + 1GB AMD Radeon 8 Graphics 14 Inch FHD Display REFURBISHED,"8GB RAM, 256GB SSD",N/A,N/A,N/A,
HP,"KSh 15,299","KSh 21,000",,,,Laptops,HP Refurbished ProBook 640 G1 Core I5,"4GB RAM, 500GB HDD",N/A,N/A,N/A,"Windows 10, (6 Months WRTY)"
HP,"KSh 31,679","KSh 48,000",,,3.5 out of 5(2),Laptops,"HP EliteBook 755 G5 15.6"" - AMD Ryzen 7- 2700U  - 16 GB RAM - 256 GB SSD - Win 10 Pro",N/A,N/A,"15.6""",N/A,
Apple,"KSh 26,500","KSh 39,999",,,,Laptops,"Apple  Refurbished MacBook Pro 13"" Core I5 8GB RAM",8GB RAM,N/A,"13""",Silver,1TB HDD ( 2012) 2.5GHz-  (6 Months WRTY)
Lenovo,"KSh 24,500","KSh 30,000",,,,Laptops,"Lenovo Refurbished ThinkPad Yoga 11e Touch Screen Intel Coi5 8th Gen  8gb 256GB SSD 11.6""",256GB SSD,N/A,"11.6""",N/A,
Apple,"KSh 32,800","KSh 45,000",,,5 out of 5(1),Laptops,"Apple Refurbished MacBook Pro 13"" Core I5 16GB RAM",16GB RAM,N/A,"13""",Silver,1TB HDD ( 2012) 2.5GHz-
HP,"KSh 52,000","KSh 64,999",,,5 out of 5(1),Laptops,HP  EliteBook x360 1030 G4 Intel Core i7 8th Gen 16GB RAM 512GB SSD 13.3 Inch FHD Touchscreen Display refurb,"16GB RAM, 512GB SSD",N/A,N/A,N/A,
Lenovo,"KSh 12,899","KSh 18,999",,,4 out of 5(29),Laptops,"Lenovo Refurbished Thinkpad X131e 12"" Intel Celeron 4GB",N/A,N/A,"12""",Black,320GB -  (6 Months WRTY)
Samsung,"KSh 10,999","KSh 16,899",,,3.7 out of 5(11),Laptops,"Samsung Chromebook 4 – Intel Celeron N4000 - 11.6"" HD Storage 4GB RAM- 32GB SSD – Bluetooth – Camera - Chrome OS - Dark Silver - Refurb.(6 Months WRTY)","4GB RAM, 32GB SSD",N/A,"11.6""",N/A,
